Straße;Hausnr;PLZ;Ort;Preis;Wohnfläche;Grundstücksfläche;Zimmer;Typ;Baujahr;Beschreibung;Provision;Energieausweis-Klasse;Energieverbrauch;Kontakt Name;Kontakt Telefon;Kontakt E-Mail;Exposé-Nr;Notizen;Status
Ulmenstraße;90c;10203;Berlin;715.000,00;162;220;6;haus;2000;Moderner Neubau in energieeffizienter Bauweise, KfW-40-Standard.;3,57% inkl. MwSt.;C;76;Martin Huber;+49 341 56405343;martin.huber@immobilien-service.de;IS-2024-1276;Kaufpreis wurde kürzlich reduziert, gutes Verhandlungspotenzial.;verfuegbar
Mainplatz;50;40749;Düsseldorf;275.000,00;154;;1,5;wohnung;2024;Charmante Maisonette-Wohnung über zwei Etagen mit Kamin.;Provisionsfrei;C;100;Ralf Lange;+49 30 87484122;ralf.lange@immobilien-kontor.de;IS-2024-0108;Verkäufer möchte vor Verkauf noch die Küche erneuern.;verkauft
Sternpfad;78;20605;Hamburg;620.000,00;275;670;6,5;haus;2017;Moderner Neubau in energieeffizienter Bauweise, KfW-40-Standard.;5,95% inkl. MwSt.;D;101;Michael Richter;+49 40 93434066;michael.richter@immobilien-kontor.de;IS-2024-0490;Gute Nachbarschaft, ruhige Wohnstraße mit wenig Durchgangsverkehr.;verfuegbar
Neckarring;91;10451;Berlin;545.000,00;58;;4;wohnung;2015;Moderne Neubauwohnung mit offener Küche und bodentiefen Fenstern.;5,95% inkl. MwSt.;H;263;Michael Schäfer;+49 30 85254147;michael.schaefer@immobilien-kontor.de;IS-2024-3417;Kaufpreis wurde kürzlich reduziert, gutes Verhandlungspotenzial.;verkauft
Bachstraße;40;65741;Wiesbaden;475.000,00;62;;2,5;wohnung;1973;Kompakte Single-Wohnung mit durchdachtem Grundriss, ideal als Kapitalanlage.;5,95% inkl. MwSt.;F;176;Heike Bauer;+49 611 77266532;heike.bauer@immobilien-agentur.de;IS-2024-8822;Energetische Sanierung geplant, Fördermittel beantragt.;reserviert
Ulmenpfad;67;55514;Mainz;430.000,00;49;;4,5;wohnung;2008;Helle 4,5-Zimmer-Wohnung mit Balkon in ruhiger Lage.;3,57% inkl. MwSt.;E;139;Martin Walter;+49 30 78329059;martin.walter@immobilien-service.de;IS-2024-2760;;verfuegbar
Blumenallee;103b;40563;Düsseldorf;2.650.000,00;287;870;;gewerbe;1988;Produktionshalle mit Bürotrakt, Laderampe und ausreichend Parkplätzen.;4,76% inkl. MwSt.;D;111;Daniel Walter;+49 211 45310193;daniel.walter@immobilien-kontor.de;IS-2024-3650;;verfuegbar
Blumenplatz;35;79739;Freiburg;140.000,00;137;;2,5;wohnung;1967;Gepflegte Eigentumswohnung mit moderner Einbauküche und Stellplatz.;Provisionsfrei;B;69;Martin Schmidt;+49 331 28345936;martin.schmidt@immobilien-kontor.de;IS-2024-8170;Kaufpreis wurde kürzlich reduziert, gutes Verhandlungspotenzial.;reserviert
Klosterdamm;96;68955;Mannheim;445.000,00;129;;2;wohnung;1992;Stilvolle Altbauwohnung mit hohen Decken und Stuck.;5,95% inkl. MwSt.;F;181;Sabine Bauer;+49 69 40724868;sabine.bauer@immobilien-zentrale.de;IS-2024-1170;Eigentümer ist umzugsbedingt verhandlungsbereit.;verfuegbar
Mainsteig;120;68946;Mannheim;430.000,00;39;;3;wohnung;1983;Stilvolle Altbauwohnung mit hohen Decken und Stuck.;4,76% inkl. MwSt.;E;139;Lisa Meyer;+49 241 32279363;lisa.meyer@immobilien-zentrale.de;IS-2024-8941;;verfuegbar
Bachstraße;95;79227;Freiburg;2.315.000,00;309;260;;gewerbe;2015;Produktionshalle mit Bürotrakt, Laderampe und ausreichend Parkplätzen.;Provisionsfrei;F;200;Ralf Zimmermann;+49 89 33877582;ralf.zimmermann@immobilien-service.de;IS-2024-5897;Käufer hat Finanzierungszusage, Notartermin wird vereinbart.;verfuegbar
Händelpfad;50;28189;Bremen;220.000,00;159;;2,5;wohnung;1959;Loftartige Wohnung in saniertem Fabrikgebäude, Backsteinoptik.;4,76% inkl. MwSt.;E;138;Thomas Lehmann;+49 421 65955818;thomas.lehmann@immobilien-profis.de;IS-2024-4894;;reserviert
Sternweg;63;50640;Köln;1.250.000,00;212;270;5,5;haus;1960;Massives Einfamilienhaus mit Keller, Terrasse und Obstgarten.;4,76% inkl. MwSt.;D;105;Daniel Krüger;+49 221 83844869;daniel.krueger@immobilien-profis.de;IS-2024-8412;WEG-Protokolle der letzten 3 Jahre angefordert.;verkauft
Schillersteig;16;24832;Kiel;720.000,00;173;1150;4,5;haus;2017;Großzügiges Landhaus mit Pool, Sauna und Einliegerwohnung.;Provisionsfrei;E;139;Martin Schmidt;+49 331 28345936;martin.schmidt@immobilien-kontor.de;IS-2024-2509;;verfuegbar
Bahnhofsteig;49;52946;Aachen;875.000,00;245;880;7;haus;1925;Moderner Neubau in energieeffizienter Bauweise, KfW-40-Standard.;2,38% inkl. MwSt.;A;38;Sabine Bauer;+49 69 40724868;sabine.bauer@immobilien-zentrale.de;IS-2024-1899;Erstbesichtigung durchgeführt, Interessent meldet sich nächste Woche.;verfuegbar
Bahnhofdamm;103a;86978;Augsburg;460.000,00;110;;2,5;wohnung;1977;Großzügige Familienwohnung mit separatem Gäste-WC und Abstellraum.;2,38% inkl. MwSt.;A;46;Andreas Bauer;+49 821 80235490;andreas.bauer@immobilien-service.de;IS-2024-5955;Schornsteinfeger-Protokoll liegt vor, keine Beanstandungen.;verfuegbar
Felddamm;81;69490;Heidelberg;1.185.000,00;253;640;6,5;haus;1909;Gepflegtes Reihenhaus in familienfreundlicher Wohnlage.;3,57% inkl. MwSt.;E;148;Ralf Zimmermann;+49 89 33877582;ralf.zimmermann@immobilien-service.de;IS-2024-4731;Garagenstellplatz separat zu erwerben (15.000 €).;reserviert
Händelsteig;113;86311;Augsburg;445.000,00;118;;4,5;wohnung;1988;Loftartige Wohnung in saniertem Fabrikgebäude, Backsteinoptik.;Auf Anfrage;C;80;Uwe Peters;+49 431 40937060;uwe.peters@immobilien-zentrale.de;IS-2024-5975;;reserviert
Waldgasse;59;86887;Augsburg;210.000,00;96;;1;wohnung;1967;Frisch renovierte Wohnung mit Parkettböden und Fußbodenheizung.;3,57% inkl. MwSt.;H;281;Andreas Bauer;+49 821 80235490;andreas.bauer@immobilien-service.de;IS-2024-1250;Objekt wurde als Kapitalanlage genutzt, aktuelle Rendite 4,2%.;verfuegbar
Königsteig;65;30371;Hannover;795.000,00;;1980;;grundstueck;;Sonniges Eckgrundstück mit Südausrichtung, bebaubar nach §34 BauGB.;5,95% inkl. MwSt.;;;Uwe Klein;+49 511 43436200;uwe.klein@immobilien-partner.de;IS-2024-4517;Besichtigung nur samstags möglich, Eigentümer arbeitet im Ausland.;verfuegbar
Rosenweg;113;79401;Freiburg;695.000,00;;1470;;grundstueck;;Voll erschlossenes Baugrundstück in ruhiger Wohnlage.;5,95% inkl. MwSt.;;;Andreas Maier;+49 89 20970853;andreas.maier@immobilien-service.de;IS-2024-9127;Garagenstellplatz separat zu erwerben (15.000 €).;verfuegbar
Parkgasse;59;44300;Dortmund;660.000,00;62;;2,5;wohnung;2007;Frisch renovierte Wohnung mit Parkettböden und Fußbodenheizung.;Provisionsfrei;H;314;Klaus König;+49 451 41446841;klaus.koenig@immobilien-service.de;IS-2024-8770;;verkauft
Blumenweg;36;90501;Nürnberg;60.000,00;;340;;grundstueck;;Ebenes Grundstück in gewachsener Siedlung, ruhige Sackgassenlage.;3,57% inkl. MwSt.;;;Stefan Hartmann;+49 911 26101943;stefan.hartmann@immobilien-service.de;IS-2024-7557;Gute Nachbarschaft, ruhige Wohnstraße mit wenig Durchgangsverkehr.;verfuegbar
Schulsteig;92a;01104;Dresden;415.000,00;93;;1;wohnung;2001;Helle 1-Zimmer-Wohnung mit Balkon in ruhiger Lage.;5,95% inkl. MwSt.;A+;21;Klaus Meyer;+49 351 35066498;klaus.meyer@immobilien-agentur.de;IS-2024-7722;Erstbesichtigung durchgeführt, Interessent meldet sich nächste Woche.;verfuegbar
Kastanienweg;106c;90457;Nürnberg;670.000,00;143;;1,5;wohnung;1997;Frisch renovierte Wohnung mit Parkettböden und Fußbodenheizung.;Provisionsfrei;F;198;Stefan Hartmann;+49 911 26101943;stefan.hartmann@immobilien-service.de;IS-2024-8730;Bodenrichtwert laut Gutachterausschuss: 320 €/m².;verfuegbar
Bergallee;53;60720;Frankfurt;105.000,00;;1420;;grundstueck;;Voll erschlossenes Baugrundstück in ruhiger Wohnlage.;Auf Anfrage;;;Jürgen Becker;+49 89 88623195;juergen.becker@immobilien-zentrale.de;IS-2024-2463;;verfuegbar
Birkenweg;81b;10576;Berlin;970.000,00;299;1190;8;haus;1983;Zweifamilienhaus mit separaten Eingängen, ideal zur Kapitalanlage.;4,76% inkl. MwSt.;H;310;Sophia Werner;+49 331 47343729;sophia.werner@immobilien-zentrale.de;IS-2024-5646;Garagenstellplatz separat zu erwerben (15.000 €).;verfuegbar
Erlenring;116;60508;Frankfurt;240.000,00;137;;2;wohnung;1960;Großzügige Familienwohnung mit separatem Gäste-WC und Abstellraum.;Provisionsfrei;A;33;Sabine Bauer;+49 69 40724868;sabine.bauer@immobilien-zentrale.de;IS-2024-0778;Schornsteinfeger-Protokoll liegt vor, keine Beanstandungen.;verfuegbar
Marktdamm;54;18622;Rostock;1.205.000,00;274;340;6,5;haus;1917;Moderner Neubau in energieeffizienter Bauweise, KfW-40-Standard.;5,95% inkl. MwSt.;G;250;Maria Kaiser;+49 221 85161725;maria.kaiser@immobilien-service.de;IS-2024-1723;Besichtigung nur samstags möglich, Eigentümer arbeitet im Ausland.;verfuegbar
Ringdamm;21;18816;Rostock;2.385.000,00;402;440;;gewerbe;1981;Lager- und Logistikfläche im Gewerbegebiet, Autobahnnähe.;5,95% inkl. MwSt.;D;118;Andreas Wolf;+49 381 82772961;andreas.wolf@immobilien-kontor.de;IS-2024-7058;;verfuegbar
Wagnerplatz;75;53264;Bonn;115.000,00;122;;1;wohnung;1991;Kompakte Single-Wohnung mit durchdachtem Grundriss, ideal als Kapitalanlage.;Provisionsfrei;F;180;Michael Köhler;+49 201 30833235;michael.koehler@immobilien-partner.de;IS-2024-5537;Kaufpreis wurde kürzlich reduziert, gutes Verhandlungspotenzial.;verfuegbar
Birkenallee;31;28206;Bremen;175.000,00;;1920;;grundstueck;;Waldrandgrundstück mit altem Baumbestand und Bachlauf.;Provisionsfrei;;;Thomas Lehmann;+49 421 65955818;thomas.lehmann@immobilien-profis.de;IS-2024-3904;Erstbesichtigung durchgeführt, Interessent meldet sich nächste Woche.;verfuegbar
Spreeplatz;47c;44844;Dortmund;520.000,00;140;;1;wohnung;1984;Gemütliche Dachgeschosswohnung mit Galerie und Skyline-Blick.;3,57% inkl. MwSt.;A+;17;Marie Hoffmann;+49 231 58842211;marie.hoffmann@immobilien-kontor.de;IS-2024-0235;Garagenstellplatz separat zu erwerben (15.000 €).;verfuegbar
Eichenstraße;55;23635;Lübeck;305.000,00;69;;4;wohnung;2023;Sonnige Etagenwohnung in familienfreundlicher Wohngegend.;3,57% inkl. MwSt.;A+;15;Daniel Krüger;+49 221 83844869;daniel.krueger@immobilien-profis.de;IS-2024-9435;Energetische Sanierung geplant, Fördermittel beantragt.;verkauft
Dorfstraße;73;18341;Rostock;710.000,00;199;860;4;haus;2022;Repräsentatives Stadthaus in bevorzugter Wohnlage mit Garage.;3,57% inkl. MwSt.;G;246;Thomas Lehmann;+49 421 65955818;thomas.lehmann@immobilien-profis.de;IS-2024-9619;Objekt steht seit 3 Monaten leer, sofort beziehbar.;verfuegbar
Spreeplatz;104;89823;Ulm;285.000,00;;1990;;grundstueck;;Waldrandgrundstück mit altem Baumbestand und Bachlauf.;3,57% inkl. MwSt.;;;Andreas Maier;+49 89 20970853;andreas.maier@immobilien-service.de;IS-2024-6568;Objekt wurde als Kapitalanlage genutzt, aktuelle Rendite 4,2%.;verfuegbar
Dorfallee;40;04777;Leipzig;575.000,00;53;;1;wohnung;1982;Helle 1-Zimmer-Wohnung mit Balkon in ruhiger Lage.;Provisionsfrei;D;112;Tobias Köhler;+49 341 21711603;tobias.koehler@immobilien-zentrale.de;IS-2024-5819;Mieter hat Vorkaufsrecht, muss zuerst angefragt werden.;verfuegbar
Spreestraße;4;76306;Karlsruhe;1.235.000,00;182;1170;6;haus;2006;Architektenhaus mit offenem Wohnkonzept und bodentiefen Fenstern.;3,57% inkl. MwSt.;A;50;Maria Kaiser;+49 221 85161725;maria.kaiser@immobilien-service.de;IS-2024-0833;Bodenrichtwert laut Gutachterausschuss: 320 €/m².;reserviert
Feldgasse;6;50270;Köln;510.000,00;89;;5;wohnung;1962;Penthouse mit umlaufender Dachterrasse und Panoramablick.;Provisionsfrei;F;162;Sabine Meyer;+49 201 97445827;sabine.meyer@immobilien-agentur.de;IS-2024-7563;Verkäufer möchte vor Verkauf noch die Küche erneuern.;verkauft
Kastanienpfad;64;10912;Berlin;710.000,00;215;1190;6;haus;1939;Renoviertes Fachwerkhaus mit modernem Anbau und historischem Charme.;4,76% inkl. MwSt.;C;97;Ralf Lange;+49 30 87484122;ralf.lange@immobilien-kontor.de;IS-2024-2260;Kaufpreis wurde kürzlich reduziert, gutes Verhandlungspotenzial.;verfuegbar
Rathausring;30;28682;Bremen;210.000,00;66;;4;wohnung;1994;Frisch renovierte Wohnung mit Parkettböden und Fußbodenheizung.;Auf Anfrage;H;273;Sophia Werner;+49 331 47343729;sophia.werner@immobilien-zentrale.de;IS-2024-7691;Energetische Sanierung geplant, Fördermittel beantragt.;verfuegbar
Mainplatz;116;53315;Bonn;330.000,00;;1430;;grundstueck;;Voll erschlossenes Baugrundstück in ruhiger Wohnlage.;5,95% inkl. MwSt.;;;Stefan Hartmann;+49 911 26101943;stefan.hartmann@immobilien-service.de;IS-2024-2557;Grundbuch ist lastenfrei, keine Altlasten bekannt.;verfuegbar
Goethestraße;41;70378;Stuttgart;380.000,00;;1110;;grundstueck;;Baugrundstück mit genehmigter Bauvoranfrage für Doppelhaus.;3,57% inkl. MwSt.;;;Alexander Schmidt;+49 711 15977656;alexander.schmidt@immobilien-zentrale.de;IS-2024-3146;Garagenstellplatz separat zu erwerben (15.000 €).;reserviert
Sterndamm;96;50981;Köln;455.000,00;289;1050;4;haus;1945;Großzügiges Landhaus mit Pool, Sauna und Einliegerwohnung.;4,76% inkl. MwSt.;B;68;Daniel Krüger;+49 221 83844869;daniel.krueger@immobilien-profis.de;IS-2024-2716;Bodenrichtwert laut Gutachterausschuss: 320 €/m².;verfuegbar
Hauptsteig;93;89294;Ulm;405.000,00;75;;1;wohnung;1966;Gepflegte Eigentumswohnung mit moderner Einbauküche und Stellplatz.;Provisionsfrei;A;48;Susanne Becker;+49 451 90242403;susanne.becker@immobilien-partner.de;IS-2024-8463;;verfuegbar
Klosterweg;10;80294;München;560.000,00;61;;2,5;wohnung;2005;Gemütliche Dachgeschosswohnung mit Galerie und Skyline-Blick.;3,57% inkl. MwSt.;A+;20;Sophia Werner;+49 331 47343729;sophia.werner@immobilien-zentrale.de;IS-2024-4071;;verfuegbar
Mainallee;93;20393;Hamburg;475.000,00;;1050;;grundstueck;;Sonniges Eckgrundstück mit Südausrichtung, bebaubar nach §34 BauGB.;Provisionsfrei;;;Michael Richter;+49 40 93434066;michael.richter@immobilien-kontor.de;IS-2024-0585;Objekt wurde als Kapitalanlage genutzt, aktuelle Rendite 4,2%.;verfuegbar
Bachallee;92;24658;Kiel;1.395.000,00;215;930;6;haus;2017;Bungalow auf einer Ebene, ideal für barrierefreies Wohnen.;Provisionsfrei;C;87;Uwe Peters;+49 431 40937060;uwe.peters@immobilien-zentrale.de;IS-2024-0679;;verfuegbar
Dorfweg;90;23706;Lübeck;1.395.000,00;275;1010;6,5;haus;1979;Architektenhaus mit offenem Wohnkonzept und bodentiefen Fenstern.;5,95% inkl. MwSt.;G;234;Sophia Fischer;+49 451 12112027;sophia.fischer@immobilien-profis.de;IS-2024-7474;Käufer hat Finanzierungszusage, Notartermin wird vereinbart.;reserviert
Brückendamm;95;68903;Mannheim;2.065.000,00;349;980;;gewerbe;2024;Coworking-geeignete Fläche im Loft-Stil mit Glasfaseranschluss.;Auf Anfrage;E;132;Michael Köhler;+49 201 30833235;michael.koehler@immobilien-partner.de;IS-2024-6827;Dach wurde 2022 komplett erneuert, Rechnungen liegen vor.;verfuegbar
Isarallee;9;28480;Bremen;360.000,00;125;480;4,5;haus;1990;Gepflegtes Reihenhaus in familienfreundlicher Wohnlage.;3,57% inkl. MwSt.;C;83;Tobias Köhler;+49 341 21711603;tobias.koehler@immobilien-zentrale.de;IS-2024-7713;Kaufpreis wurde kürzlich reduziert, gutes Verhandlungspotenzial.;verkauft
Ulmensteig;97;24440;Kiel;795.000,00;253;500;6,5;haus;1952;Reihenendhaus mit seitlichem Gartenanteil und Sonnenterrasse.;Auf Anfrage;F;179;Uwe Peters;+49 431 40937060;uwe.peters@immobilien-zentrale.de;IS-2024-7689;Objekt steht seit 3 Monaten leer, sofort beziehbar.;verfuegbar
Mozartring;49;14595;Potsdam;1.300.000,00;214;960;5;haus;1963;Renoviertes Fachwerkhaus mit modernem Anbau und historischem Charme.;Provisionsfrei;F;189;Martin Schmidt;+49 331 28345936;martin.schmidt@immobilien-kontor.de;IS-2024-3582;Objekt wird derzeit noch bewohnt, Besichtigung nur nach Absprache.;verkauft
Händelsteig;46;44803;Dortmund;150.000,00;66;;4,5;wohnung;1987;Loftartige Wohnung in saniertem Fabrikgebäude, Backsteinoptik.;Auf Anfrage;C;85;Marie Hoffmann;+49 231 58842211;marie.hoffmann@immobilien-kontor.de;IS-2024-3893;Dach wurde 2022 komplett erneuert, Rechnungen liegen vor.;reserviert
Klosterstraße;24;68695;Mannheim;2.815.000,00;308;880;;gewerbe;2018;Moderne Praxisräume im Ärztehaus, barrierefrei und klimatisiert.;3,57% inkl. MwSt.;A;48;Stefan Hoffmann;+49 241 17932038;stefan.hoffmann@immobilien-zentrale.de;IS-2024-9643;Teilfläche ist vermietet, Mieteinnahmen ca. 800 €/Monat.;reserviert
Gartenallee;107c;53671;Bonn;695.000,00;94;;3,5;wohnung;1967;Penthouse mit umlaufender Dachterrasse und Panoramablick.;3,57% inkl. MwSt.;E;137;Lisa Meyer;+49 241 32279363;lisa.meyer@immobilien-zentrale.de;IS-2024-5736;Kaufpreis wurde kürzlich reduziert, gutes Verhandlungspotenzial.;verfuegbar
Händelstraße;39;76956;Karlsruhe;560.000,00;71;;4;wohnung;2014;Gepflegte Eigentumswohnung mit moderner Einbauküche und Stellplatz.;2,38% inkl. MwSt.;E;142;Uwe Klein;+49 511 43436200;uwe.klein@immobilien-partner.de;IS-2024-7497;Objekt steht seit 3 Monaten leer, sofort beziehbar.;verfuegbar
Beethovenplatz;61;14812;Potsdam;2.410.000,00;681;1910;;gewerbe;2006;Moderne Praxisräume im Ärztehaus, barrierefrei und klimatisiert.;2,38% inkl. MwSt.;B;60;Martin Schmidt;+49 331 28345936;martin.schmidt@immobilien-kontor.de;IS-2024-4982;Objekt steht seit 3 Monaten leer, sofort beziehbar.;verfuegbar
Marktring;2;60758;Frankfurt;145.000,00;134;;3,5;wohnung;1965;Sonnige Etagenwohnung in familienfreundlicher Wohngegend.;5,95% inkl. MwSt.;A+;18;Sabine Bauer;+49 69 40724868;sabine.bauer@immobilien-zentrale.de;IS-2024-8227;Bodenrichtwert laut Gutachterausschuss: 320 €/m².;verfuegbar
Bahnhofstraße;16;45529;Essen;1.010.000,00;136;1140;4,5;haus;2007;Architektenhaus mit offenem Wohnkonzept und bodentiefen Fenstern.;3,57% inkl. MwSt.;A;32;Anna Wagner;+49 511 45248045;anna.wagner@immobilien-agentur.de;IS-2024-8188;Grundbuch ist lastenfrei, keine Altlasten bekannt.;reserviert
Königplatz;94;76212;Karlsruhe;290.000,00;283;400;5,5;haus;1909;Energetisch saniertes Siedlungshaus mit neuer Heizung und Dach.;3,57% inkl. MwSt.;G;242;Hannah Huber;+49 221 57177965;hannah.huber@immobilien-partner.de;IS-2024-2065;Käufer hat Finanzierungszusage, Notartermin wird vereinbart.;verfuegbar
Maindamm;120;28327;Bremen;235.000,00;141;;3;wohnung;1979;Stilvolle Altbauwohnung mit hohen Decken und Stuck.;4,76% inkl. MwSt.;F;197;Thomas Lehmann;+49 421 65955818;thomas.lehmann@immobilien-profis.de;IS-2024-9038;Gute Nachbarschaft, ruhige Wohnstraße mit wenig Durchgangsverkehr.;verfuegbar
Parkallee;100;18866;Rostock;395.000,00;76;;5;wohnung;1963;Stilvolle Altbauwohnung mit hohen Decken und Stuck.;Auf Anfrage;E;134;Thomas Lehmann;+49 421 65955818;thomas.lehmann@immobilien-profis.de;IS-2024-3402;Schornsteinfeger-Protokoll liegt vor, keine Beanstandungen.;verfuegbar
Wagnerplatz;110b;44187;Dortmund;1.180.000,00;108;640;6,5;haus;1958;Gepflegtes Reihenhaus in familienfreundlicher Wohnlage.;3,57% inkl. MwSt.;H;345;Marie Hoffmann;+49 231 58842211;marie.hoffmann@immobilien-kontor.de;IS-2024-6430;Objekt wird derzeit noch bewohnt, Besichtigung nur nach Absprache.;verfuegbar
Parkring;86;44801;Dortmund;85.000,00;157;;4;wohnung;2010;Charmante Maisonette-Wohnung über zwei Etagen mit Kamin.;3,57% inkl. MwSt.;A+;23;Markus Schwarz;+49 89 83825881;markus.schwarz@immobilien-partner.de;IS-2024-5046;Mieter hat Vorkaufsrecht, muss zuerst angefragt werden.;verfuegbar
Kirchpfad;28;93956;Regensburg;1.415.000,00;553;1500;;gewerbe;1987;Coworking-geeignete Fläche im Loft-Stil mit Glasfaseranschluss.;Provisionsfrei;D;119;Michael Köhler;+49 201 30833235;michael.koehler@immobilien-partner.de;IS-2024-2648;Mehrere Interessenten vorhanden, Bieterverfahren möglich.;verfuegbar
Königpfad;66;52642;Aachen;395.000,00;196;1160;7,5;haus;2021;Moderner Neubau in energieeffizienter Bauweise, KfW-40-Standard.;4,76% inkl. MwSt.;B;57;Stefan Hartmann;+49 911 26101943;stefan.hartmann@immobilien-service.de;IS-2024-1231;Käufer hat Finanzierungszusage, Notartermin wird vereinbart.;verfuegbar
Kirchweg;37;90292;Nürnberg;1.015.000,00;255;990;5;haus;1936;Doppelhaushälfte mit Carport und pflegeleichtem Vorgarten.;5,95% inkl. MwSt.;G;218;Stefan Hartmann;+49 911 26101943;stefan.hartmann@immobilien-service.de;IS-2024-9687;Gute Nachbarschaft, ruhige Wohnstraße mit wenig Durchgangsverkehr.;reserviert
Alsterplatz;70c;68632;Mannheim;1.175.000,00;217;1040;7;haus;1978;Holzhaus in ökologischer Bauweise mit Solarthermie und Regenwassernutzung.;4,76% inkl. MwSt.;C;96;Andreas Wolf;+49 381 82772961;andreas.wolf@immobilien-kontor.de;IS-2024-3364;Eigentümer ist umzugsbedingt verhandlungsbereit.;verfuegbar
Ringweg;40;24244;Kiel;470.000,00;236;230;8;haus;1934;Holzhaus in ökologischer Bauweise mit Solarthermie und Regenwassernutzung.;3,57% inkl. MwSt.;D;119;Uwe Peters;+49 431 40937060;uwe.peters@immobilien-zentrale.de;IS-2024-8258;Objekt wird derzeit noch bewohnt, Besichtigung nur nach Absprache.;reserviert
Weserstraße;28;18174;Rostock;160.000,00;30;;4;wohnung;1961;Loftartige Wohnung in saniertem Fabrikgebäude, Backsteinoptik.;3,57% inkl. MwSt.;E;150;Heike Bauer;+49 611 77266532;heike.bauer@immobilien-agentur.de;IS-2024-0704;;verkauft
Blumenpfad;64;70387;Stuttgart;335.000,00;176;540;7;haus;1929;Massives Einfamilienhaus mit Keller, Terrasse und Obstgarten.;2,38% inkl. MwSt.;A;42;Klaus König;+49 451 41446841;klaus.koenig@immobilien-service.de;IS-2024-3560;Käufer hat Finanzierungszusage, Notartermin wird vereinbart.;verfuegbar
Burgdamm;98;40157;Düsseldorf;540.000,00;254;540;6;haus;1986;Großzügiges Landhaus mit Pool, Sauna und Einliegerwohnung.;3,57% inkl. MwSt.;D;116;Heike Bauer;+49 611 77266532;heike.bauer@immobilien-agentur.de;IS-2024-9114;Dach wurde 2022 komplett erneuert, Rechnungen liegen vor.;reserviert
